step,pain,instability,need_for_control,cognitive_load,neurochem_balance,fatigue,env_stress,reg_relief,nut_support,temperature,confinement,social_contact,noise_level,light_level,breathing,cognitive_override,pharmacology,meditation,exercise,glucose_level,tryptophan,tyrosine,hydration,vitamin_b12,motive,ability,dispersion
14,0.16897898264209174,0.096553432562737,0.45258124065825994,0.05263479204384784,0.9044132300348765,0.0665013269386497,0.33558940010738264,0.27,0.7949999999999999,22.911798638260414,0.2791834785483744,0.5852218334582353,0.3355491374738522,0.4988579674880419,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1900139042987536,0.5463818482675235,0.5859883803536611
15,0.1641804862816568,0.08800301405327636,0.4366126453315114,0.045395509782783595,0.9001799894390785,0.07366327006017777,0.32990196173806396,0.27,0.7949999999999999,22.90770098200946,0.26812775130376476,0.5873317917222255,0.33187267703414924,0.49038539832286226,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1873736367238876,0.5437385961956752,0.5831800487706106
16,0.16857759492227825,0.08838467705346395,0.4176127844294107,0.04041488721474885,0.9300838177396389,0.0831873765659531,0.33552386036888043,0.27,0.7949999999999999,22.92244810825549,0.2845904247270161,0.5976390998520217,0.3222301551876597,0.5165760061276385,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.18042978209825575,0.5501042845592882,0.580257073906593
17,0.16495585052663744,0.08828000486180555,0.41053543506897094,0.05364820050785552,0.9110117689277694,0.0758322062009908,0.32834921620306423,0.27,0.7949999999999999,22.889688368458135,0.2780590786992726,0.6039500752919682,0.3229648251851274,0.4973097505079843,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.18430344056609907,0.5440249424201441,0.5806423170392148
18,0.15949707240893352,0.08256254280579882,0.40248018375699596,0.051906495955548575,0.9028082623333422,0.08200633545595884,0.324083613340419,0.27,0.7949999999999999,22.888243563408825,0.27188578976496497,0.6061713807507677,0.31657711467165295,0.49243378377673136,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.18024053430919296,0.5414370337075819,0.5766866244580521
19,0.1671266299394333,0.07862010955402529,0.3958321901281719,0.037526276921665075,0.9169494425391607,0.08810532771250698,0.3190973852336669,0.27,0.7949999999999999,22.90987637989425,0.27692186427973503,0.615737034224588,0.3065076033820924,0.4789498434204142,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.17604109857523043,0.544643410656726,0.5739859745471085
20,0.1529717276430125,0.09814830663109983,0.38227926766156306,0.03947433708180753,0.9232399541516989,0.07261026145341039,0.3162340634771117,0.27,0.7949999999999999,22.918679858310526,0.2655159964084839,0.6080111813635086,0.29578336489547646,0.48111865074081456,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1703120013014084,0.5508537342479092,0.5774918958022196
21,0.16009802022365605,0.09602852404296794,0.3805303037897361,0.026981857001475852,0.9345513559392787,0.07290544485283308,0.3158100344890043,0.27,0.7949999999999999,22.899898929646003,0.2772710496974573,0.6166845579378076,0.28977403146054087,0.4806307304564413,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16815450957228834,0.5544888194047808,0.5761084002872863
22,0.15947073348597574,0.09821557683429663,0.3713007140648897,0.05406941538283487,0.9108922542646636,0.08124851512384354,0.31242773968079585,0.27,0.7949999999999999,22.879603439824077,0.27483332121609977,0.6226030903329479,0.284174371164718,0.4800604650674777,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.17167522067770352,0.5422340157644673,0.5757567513545787
23,0.1460924728337844,0.08543571509436021,0.36661431757132534,0.057380537863266315,0.9161141477936486,0.09242064433951669,0.3169312764372967,0.27,0.7949999999999999,22.914220121062435,0.27044510369696967,0.6084779634177074,0.28536643301765996,0.4897172723723555,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16552887538920813,0.5430887206799322,0.5707776942215997
24,0.1611436845867475,0.0891320091043405,0.36415969140657806,0.05174153828511167,0.9206568247038563,0.09013505837648446,0.31255254319028264,0.27,0.7949999999999999,22.887574047747986,0.2652371067401618,0.6289928539872847,0.29062853768671243,0.49191791964883447,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16859214731787397,0.5425001658001047,0.5725418271594193
25,0.15646626812272318,0.08789609268496061,0.36512740014903033,0.04886636121780909,0.9161015039302984,0.0730388686849006,0.3117454866212069,0.27,0.7949999999999999,22.885064063559064,0.2568475980795457,0.6310029075372505,0.30620278648602833,0.48502495099640636,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16849049803744093,0.5460845995066679,0.5713920764584477
26,0.14803767006641058,0.07501790378945501,0.36253019194139,0.038099361270923796,0.9187393903817559,0.06999218545099392,0.3175389739326129,0.27,0.7949999999999999,22.891413624816057,0.2840031787649716,0.6503391861432097,0.3011043439938313,0.5039270461848234,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16408190294607072,0.5496240654740848,0.5671074876552169
27,0.15019237026057913,0.0724828623183219,0.3591278983328476,0.026113923486461302,0.9237606740018326,0.07465591026452834,0.30806096033784236,0.27,0.7949999999999999,22.871629232632323,0.26280125205255234,0.6436696581256581,0.2649119604705689,0.5142933764232824,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.16225535822550397,0.5501148952554017,0.5671654433153038
28,0.13213208051345385,0.06952515312745638,0.3492159123374523,0.02126447701013624,0.9155029393536658,0.07031670967640866,0.3035056793198796,0.27,0.7949999999999999,22.907305037361855,0.25724491769903013,0.6632190592489584,0.2579973996753913,0.5218047182800151,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.15406424597066337,0.5514908476221113,0.5633913292395507
29,0.12731022449348936,0.0638414432020926,0.3335140821260545,0.026144838509101265,0.9144635649015886,0.07389439977617897,0.2996318599952451,0.27,0.7949999999999999,22.915352830741508,0.25091943483510554,0.6706554326710841,0.2549513668138762,0.5201206995996694,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.14844057261567256,0.5491615797181872,0.5592049770372091
30,0.12523023887026938,0.06025858959298541,0.3194929222209232,0.031095349798553742,0.9196938009947291,0.08389898790032528,0.2882768414057873,0.27,0.7949999999999999,22.903643889941343,0.24475903045565994,0.6991234474592244,0.24331052253225927,0.512179503516459,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.14247271119422067,0.5469879638570967,0.5559532410990369
31,0.13000032555207194,0.05568797872036401,0.3124990483222811,0.018534270428298562,0.9079953879926527,0.08477080445007187,0.2880318442788442,0.27,0.7949999999999999,22.937808619938235,0.24191762757457483,0.7060404387424085,0.2397829158116802,0.5219614556121352,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13853368548510753,0.5439506527395419,0.5516116667294947
32,0.11959589073816018,0.05412612324684135,0.2970938921315083,0.04689011803078923,0.9132723633306558,0.087133048880488,0.2903213368014882,0.27,0.7949999999999999,22.967747649895838,0.23912860120599463,0.705095438685157,0.2508504638348309,0.5222629879843881,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1345616071355409,0.5414051639372759,0.5495535950429721
33,0.1270446636468005,0.0577530836171729,0.29343075825267206,0.03732599911411544,0.9309105145079325,0.0838882553829021,0.29159700118164356,0.27,0.7949999999999999,22.97688686168279,0.24140943051441338,0.6977242479616147,0.25497573877425633,0.5134941265553153,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13280777484117878,0.5463557294827924,0.5507332682707167
34,0.13130052958511101,0.05559139715204039,0.3018582680054444,0.027794838096338922,0.9179359383990324,0.07235616358681779,0.29255175671085343,0.27,0.7949999999999999,22.9486359622196,0.23557728572215567,0.703536330812118,0.25930169397061126,0.529516166548864,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13787643138223044,0.5463212270536603,0.5511826461824854
35,0.12937159554331532,0.08384766285687714,0.3107500954387573,0.03117989682565775,0.9315281326332275,0.07605558161520208,0.29105043366607897,0.27,0.7949999999999999,22.921928707986737,0.2440361730965087,0.7037222494808422,0.25451940859309735,0.5187410308986642,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13911944222585368,0.5508922082312037,0.5607396597431095
36,0.13188062601283843,0.06481965194531468,0.31039587999002644,0.012075681665457801,0.9157448183756451,0.07915129916983513,0.2960073953753636,0.27,0.7949999999999999,22.916667186792353,0.24934206606171222,0.7105978166044178,0.26345556036231516,0.5352932716974493,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1377422058718909,0.5471685913137445,0.5546955703158128
37,0.1277181244012455,0.07766632375603144,0.3066736187905312,0.028498434951879256,0.9327355294275799,0.07841470236675908,0.2997449718607368,0.27,0.7949999999999999,22.91065350022266,0.2566870137824198,0.7119178706764204,0.26213159659187374,0.5479701848907228,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.137390680501493,0.5503293807933914,0.5591687380809353
38,0.13752825866359514,0.06926069954166908,0.31311278359111516,0.02417487059809164,0.9162234140164374,0.07955388218092423,0.30290147228747943,0.27,0.7949999999999999,22.922415652463254,0.2649294261710924,0.7140399364015677,0.2576791225444681,0.5589950229900965,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1434380946823747,0.5447142920604997,0.5580384825937595
39,0.1325562026917796,0.07059304054337362,0.307628904508054,0.04429262840414505,0.9240648466428416,0.08437486041656554,0.2981426777960904,0.27,0.7949999999999999,22.864618618967274,0.2567601272169681,0.7133928414049191,0.25920187220521157,0.5483000699993128,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1429139579805047,0.5436889860843014,0.5585210970713134
40,0.1471108745750221,0.07467011453144377,0.3055291835517192,0.03784314408768442,0.9139663200696835,0.09079944428313227,0.3014484929906347,0.27,0.7949999999999999,22.861020993763557,0.25807391383406636,0.696895998749349,0.2568284055923565,0.549378328863272,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.144351030620796,0.5379872344096235,0.5585824882738231
41,0.1557871822616755,0.07655895342611291,0.2998413286998825,0.030019964753393955,0.9149072221292442,0.07892050132292017,0.30131637002875267,0.27,0.7949999999999999,22.86629535552388,0.24798946394335106,0.6850243315845419,0.24371387893649615,0.5621046292542804,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.14530592157403577,0.5388977457818838,0.559241517495949
42,0.14336860425227663,0.06777315718860441,0.30630953183338505,0.03613953939060549,0.9282359504487719,0.09220176752249117,0.29334740573458096,0.27,0.7949999999999999,22.859663622687926,0.2325241672245017,0.7026429788844879,0.24405498400749576,0.5594492475340762,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1424697862134022,0.5425231510669151,0.5572261743456703
43,0.13138644670232938,0.07476606281063435,0.303135796301439,0.0190112268552175,0.9116876514728771,0.09752968196627773,0.28691688139552285,0.27,0.7949999999999999,22.83566461211025,0.2192587226706307,0.7285723962680141,0.24653660283618523,0.5694261435115078,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13544163174857088,0.540304322905131,0.5574128796202503
44,0.1376655082994409,0.05668007933993036,0.29253646118880483,0.031550499873994206,0.9197567713631649,0.08777840018908183,0.2769436521698069,0.27,0.7949999999999999,22.819687881185853,0.20269780555537478,0.7276592672501799,0.24116090499455045,0.5461216765566831,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13434591523098785,0.5414083390248395,0.5496410461999641
45,0.1416571182777923,0.05601074685722712,0.28275022189162774,0.031545575486036925,0.9172732192113264,0.08453970683433677,0.2748727621427489,0.27,0.7949999999999999,22.810841782810147,0.19952057776707632,0.7257234204775698,0.23210662794502177,0.5476312250415591,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1305955808512391,0.5400475474540225,0.5464669766802923
46,0.14443286282404838,0.05471776479225736,0.2852852965674262,0.017887627153720213,0.8939413119728242,0.07678024745009872,0.2751042510110715,0.27,0.7949999999999999,22.82935265753415,0.19892401909806987,0.7341017580898025,0.22734588520993718,0.561053746528397,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13281183316921716,0.536194414200518,0.5459184115229695
47,0.14517562172816925,0.05066426811439504,0.28973848024854326,0.02260554855200678,0.9310669442589942,0.06619087857242188,0.2693426941663965,0.27,0.7949999999999999,22.84063905834045,0.19378655358340388,0.7429985136920607,0.2309368560942486,0.5429860188457503,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.13261188028336227,0.5496006216724038,0.5451939786613871
48,0.12312783002922636,0.045004268044013473,0.2843261635433686,0.010922891060629618,0.9103818972922374,0.06639829866960001,0.266719188182051,0.27,0.7949999999999999,22.82614425704457,0.19860895717534896,0.7458028935345674,0.22892702118500421,0.5299229942992317,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12439874741795919,0.547483094933896,0.5418024356008202
49,0.12673078567187815,0.045639077926968606,0.27775484206761136,0.017376236903420994,0.9329961878602735,0.0773898534735541,0.26837906089892677,0.27,0.7949999999999999,22.850922012927917,0.21677347941283695,0.74583642759682,0.2198889144276083,0.5224202922666066,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12008003727699626,0.5499945612142854,0.5408110452212618
50,0.1372049408498237,0.0648744021463802,0.27611725791372504,0.008202695994307736,0.9221171438510438,0.0673465225084229,0.26146727465152025,0.27,0.7949999999999999,22.842025228028533,0.2134525626094838,0.7559662971593015,0.22238523256150075,0.5004245271410507,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12316229939218518,0.5476275289552037,0.5467498586150719
51,0.13376421888721224,0.058593689942232643,0.27865707049888444,0.017847578466813993,0.9044207104629338,0.07484929034619202,0.25953321423864656,0.27,0.7949999999999999,22.858426212879387,0.21679465153592695,0.7583280884196832,0.22138852945956575,0.48850002210649535,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12429049238910798,0.541513159948672,0.5437372689628622
52,0.13158428899619315,0.052309993028308376,0.2656579402544675,0.021121359940971945,0.9272615879079096,0.07313709849785127,0.2574123231476459,0.27,0.7949999999999999,22.84431196671845,0.21583081305769775,0.768798150245721,0.22003603301922423,0.4921579195547396,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11699808967472433,0.5465314755191003,0.5401654347816686
53,0.13666905197726448,0.06796184667811947,0.26186011590177405,0.0328656444667642,0.9205012625698017,0.0736003404215431,0.2554581703511747,0.27,0.7949999999999999,22.84495744262085,0.2101438647522202,0.7805761687114408,0.22577711890926927,0.49547629438844515,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11880093047607226,0.5419679143692747,0.5440570302231424
54,0.13833825577166114,0.0769816007118908,0.2690643791829469,0.028840743058408745,0.9070186636086941,0.06330270395302352,0.2571869736108118,0.27,0.7949999999999999,22.87885926338189,0.2144701645064715,0.7636985307828633,0.23475119037742512,0.46989431728049214,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1233051639460136,0.5416819242004329,0.5470925522020968
55,0.12342848959512473,0.07358239488925776,0.28058543367294453,0.02476672814076132,0.9273617721473101,0.07373371996814024,0.25485104035451817,0.27,0.7949999999999999,22.88622328278537,0.20970181629445608,0.7656326045398487,0.2341408620635813,0.4660751366370681,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12038577559732086,0.550245043269543,0.547570656556234
56,0.1244575487881083,0.060072173053036776,0.27604642627033915,0.03696806638843369,0.9153322028342001,0.07721233379962754,0.25504864840523245,0.27,0.7949999999999999,22.890826078549036,0.18371929245789276,0.7582268034199321,0.25541229091355816,0.4704613570871294,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.12125118901378369,0.5439945698233084,0.5425965026138485
57,0.13040527384078382,0.0637968145034385,0.2665139489031795,0.02127709952842186,0.9267982508362737,0.07742665380202528,0.2593492188736064,0.27,0.7949999999999999,22.910693844113144,0.20175713972294207,0.7632294731789658,0.24605058691450074,0.48204284461891916,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11576753376124618,0.5463044841982791,0.5428001689223959
58,0.13060661354803402,0.05913772536108173,0.2595087660224603,0.024267950540620333,0.9193561288057637,0.06701083739070202,0.25703651960852286,0.27,0.7949999999999999,22.908986848701584,0.21055351651193197,0.7804939992083191,0.25213436425240743,0.47081398809722214,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.1162561662271445,0.5440675487419451,0.5415620379852918
59,0.13208195300175826,0.06948292387600305,0.25582865872807165,0.0442410677474019,0.9238003350855513,0.05977625653453705,0.25780937791731606,0.27,0.7949999999999999,22.891740482866762,0.21298655901736402,0.7728448440782183,0.24058186037629534,0.4770493822659565,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11801057805341962,0.5441469399734886,0.5438350469573126
60,0.12926158293749412,0.07056742577363803,0.2565729480337139,0.04111434834367418,0.9205332195427198,0.07946471306084002,0.2533418836706662,0.27,0.7949999999999999,22.871595063146337,0.2022715012102467,0.7645132964879382,0.22629694805964107,0.4758218222435151,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11563924660583436,0.5400327213323259,0.5443893981189261
61,0.1232064803782958,0.0683328468444336,0.2534755608487166,0.04471227998403873,0.9107210514349388,0.08967929649838267,0.25270683942138056,0.27,0.7949999999999999,22.888001164466402,0.19898532372603792,0.7449823523728963,0.2146605120003636,0.46742428093107774,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.112517364753897,0.5354343480690483,0.5425157868723349
62,0.11357730861996054,0.06709186078828365,0.26345008435024686,0.03855629451209996,0.9294867846108085,0.07846982612627013,0.2556326742100268,0.27,0.7949999999999999,22.871169657526444,0.18927878239271917,0.7504541703621808,0.24539741778238244,0.4703943006054694,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11215878806724913,0.5473568154340842,0.5430139345557858
63,0.12334405631575708,0.062366280621579555,0.2618007985671056,0.033150489592208905,0.9316780527284175,0.0735024092124755,0.2515681306928754,0.27,0.7949999999999999,22.847091467092035,0.18216462648237125,0.7674795307597139,0.2579430959282885,0.4655508018222852,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11402598851507177,0.5474774653231356,0.5420164988851898
64,0.12801956176176624,0.05272931950351661,0.2611551510086085,0.02769953693798251,0.9241955409278764,0.08364143248714333,0.24424475667694134,0.27,0.7949999999999999,22.8370591343195,0.1926332462888644,0.7867575542700772,0.2499449137848066,0.44400219175594063,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11305226026643554,0.5433319299976953,0.5382479370904908
65,0.12537781569522988,0.049063490800019066,0.253877263168736,0.014128256417263804,0.9294879018888214,0.07283750171376074,0.23666651678441775,0.27,0.7949999999999999,22.77264637305063,0.19265674077777803,0.7962777573105939,0.23547982035264137,0.4357030372658885,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.10661898209327778,0.5481543359260647,0.5349557248922675
66,0.12854901861497822,0.059204620774082756,0.24630063062611804,0.016248688290382965,0.9141741434855252,0.07622146078906346,0.2388023354638995,0.27,0.7949999999999999,22.78277763487262,0.19765070896846515,0.8158075872591164,0.2373476857706755,0.4569151495460027,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.10437760481016237,0.541438729579836,0.5357247526517201
67,0.12740933210696456,0.05083384649551788,0.25003957478987054,0.024040968207582496,0.9081753024352718,0.06775667885571858,0.23957749336698914,0.27,0.7949999999999999,22.789823484992827,0.1947794232635707,0.8132549274724606,0.23700268383059941,0.4615558764604713,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.10864157588457643,0.5412634391077533,0.5340145785204223
68,0.13142378171925176,0.063721814887097,0.25997569280667654,0.024607486329955793,0.9183155248105405,0.07219555280714611,0.23988630982486875,0.27,0.7949999999999999,22.762000173013657,0.20128115638142943,0.8135706253900756,0.24092463051760704,0.4538010833813305,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11232212485602756,0.5446288144366968,0.5390296124201945
69,0.13631377475760414,0.05742314507507783,0.25311213239211033,0.025586759170686414,0.9144646651989271,0.0635146058049807,0.24594554742481323,0.27,0.7949999999999999,22.760400925017464,0.21156649967948524,0.8071839850196837,0.25466684233263953,0.4512516742727256,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11233289709201028,0.5430106576166975,0.536515418726708
70,0.14152988208932696,0.06103814756798881,0.25537095418175154,0.03187627422152334,0.9201824577528309,0.07952732105782018,0.25101772878524975,0.27,0.7949999999999999,22.72855429224603,0.21765150046217732,0.7947542022139534,0.24676147114306599,0.4672684988478868,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11450734721310045,0.5399502606130739,0.5390376491735345
71,0.13194742271588433,0.06277671497645095,0.2480976745695657,0.03503629060617712,0.9153856545740771,0.06842922891255505,0.2546757353098682,0.27,0.7949999999999999,22.7610385850701,0.2256629340827194,0.7939090522491639,0.24587642089574335,0.4727417641057282,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11230053143247606,0.5399004226202826,0.5398463277069419
72,0.13996526261920703,0.05893373195190975,0.2594308089021265,0.017939259720339256,0.9111366330987105,0.07339566321813339,0.25654925002079754,0.27,0.7949999999999999,22.74802421420471,0.21672771197181967,0.7845756495416961,0.2525531108927628,0.47840703004523405,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.11686529347875377,0.5400061541078905,0.5405583475377592
